UID	TCID	QUID	Reaction	Evalue	Identity
P19490	1.A.10.1.1	P0AEM9	[('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Li(+) = Li(+)', 'CHEBI:49713 = CHEBI:49713'), ('Sr(2+) = Sr(2+)', 'CHEBI:35104 = CHEBI:35104'), ('Mg(2+) = Mg(2+)', 'CHEBI:18420 = CHEBI:18420'), ('monoatomic monocation  = monoatomic monocation', 'CHEBI:25414 = CHEBI:25414')]	1.69e-07	32.258
P19490	1.A.10.1.1	P0AEQ3	[('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Li(+) = Li(+)', 'CHEBI:49713 = CHEBI:49713'), ('Sr(2+) = Sr(2+)', 'CHEBI:35104 = CHEBI:35104'), ('Mg(2+) = Mg(2+)', 'CHEBI:18420 = CHEBI:18420'), ('monoatomic monocation  = monoatomic monocation', 'CHEBI:25414 = CHEBI:25414')]	9.34e-06	30.435
Q91977	1.A.10.1.12	P0AEM9	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870')]	2.9e-05	37.5
P42262	1.A.10.1.13	P0AEM9	[('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('ion  = ion', 'CHEBI:24870 = CHEBI:24870')]	3.91e-05	31.034
Q05586	1.A.10.1.20	P0AEM9	[('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('Me(+/2+)  = Me(+/2+)', 'CHEBI:24870 = CHEBI:24870')]	3.33e-05	37.5
Q12879	1.A.10.1.20	P0AEM9	[('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('Me(+/2+)  = Me(+/2+)', 'CHEBI:24870 = CHEBI:24870')]	9.35e-05	33.962
P34299	1.A.10.1.21	P0AEM9	[('Me(+/2+)  = Me(+/2+)', 'CHEBI:24870 = CHEBI:24870')]	2.07e-07	34.444
Q7YXV6	1.A.10.1.22	P0AEM9	[('Me(+/2+)  = Me(+/2+)', 'CHEBI:24870 = CHEBI:24870')]	3.93e-05	36.17
P42261	1.A.10.1.23	P0AEM9	[('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Mg(2+) = Mg(2+)', 'CHEBI:18420 = CHEBI:18420'), ('Li(+) = Li(+)', 'CHEBI:49713 = CHEBI:49713'), ('Sr(2+) = Sr(2+)', 'CHEBI:35104 = CHEBI:35104'), ('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('calcium ion  = calcium ion', 'CHEBI:39124 = CHEBI:39124'), ('inorganic cation  = inorganic cation', 'CHEBI:36915 = CHEBI:36915')]	1.69e-07	32.258
P42261	1.A.10.1.23	P0AEQ3	[('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Mg(2+) = Mg(2+)', 'CHEBI:18420 = CHEBI:18420'), ('Li(+) = Li(+)', 'CHEBI:49713 = CHEBI:49713'), ('Sr(2+) = Sr(2+)', 'CHEBI:35104 = CHEBI:35104'), ('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('calcium ion  = calcium ion', 'CHEBI:39124 = CHEBI:39124'), ('inorganic cation  = inorganic cation', 'CHEBI:36915 = CHEBI:36915')]	9.85e-06	30.435
ELV12724.1	1.A.10.1.29	P0AEM9	[('chloride  = chloride', 'CHEBI:17996 = CHEBI:17996'), ('sodium(1+)  = sodium(1+)', 'CHEBI:29101 = CHEBI:29101'), ('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103'), ('calcium ion  = calcium ion', 'CHEBI:39124 = CHEBI:39124'), ('anion  = anion', 'CHEBI:22563 = CHEBI:22563'), ('cation  = cation', 'CHEBI:23058 = CHEBI:23058')]	5.89e-05	31.034
Q14957	1.A.10.1.3	P0AEM9	[('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('monoatomic monocation  = monoatomic monocation', 'CHEBI:25414 = CHEBI:25414')]	1.69e-06	39.623
TSN95727	1.A.10.1.30	P0AEM9	[('inorganic ion  = inorganic ion', 'CHEBI:36914 = CHEBI:36914')]	8.08e-05	30.0
TSN95727	1.A.10.1.30	P0AEQ3	[('inorganic ion  = inorganic ion', 'CHEBI:36914 = CHEBI:36914')]	6.19e-07	31.868
KAF0045484.1	1.A.10.1.31	P0AEM9	[('inorganic ion  = inorganic ion', 'CHEBI:36914 = CHEBI:36914')]	5.07e-07	34.091
KAF0045484.1	1.A.10.1.31	P0AEQ3	[('inorganic ion  = inorganic ion', 'CHEBI:36914 = CHEBI:36914')]	1.05e-05	31.034
XP_027195278.1	1.A.10.1.33	P0AEQ3	[('inorganic ion  = inorganic ion', 'CHEBI:36914 = CHEBI:36914')]	2.8e-05	31.959
Q9ULK0	1.A.10.1.34	P0AEM9	[('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('Me(+/2+)  = Me(+/2+)', 'CHEBI:24870 = CHEBI:24870')]	9.22e-08	33.333
Q9ULK0	1.A.10.1.34	P0AEQ3	[('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('Me(+/2+)  = Me(+/2+)', 'CHEBI:24870 = CHEBI:24870')]	1.9e-08	36.782
Q00960	1.A.10.1.6	P0AEM9	[('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('monoatomic monocation  = monoatomic monocation', 'CHEBI:25414 = CHEBI:25414'), ('calcium atom  = calcium atom', 'CHEBI:22984 = CHEBI:22984')]	4.27e-05	35.849
Q62644	1.A.10.1.6	P0AEM9	[('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('monoatomic monocation  = monoatomic monocation', 'CHEBI:25414 = CHEBI:25414'), ('calcium atom  = calcium atom', 'CHEBI:22984 = CHEBI:22984')]	1.47e-06	39.623
Q62644	1.A.10.1.6	P0AEQ3	[('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('monoatomic monocation  = monoatomic monocation', 'CHEBI:25414 = CHEBI:25414'), ('calcium atom  = calcium atom', 'CHEBI:22984 = CHEBI:22984')]	2.83e-06	31.034
P35439	1.A.10.1.6	P0AEM9	[('Ca(2+) = Ca(2+)', 'CHEBI:29108 = CHEBI:29108'), ('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('monoatomic monocation  = monoatomic monocation', 'CHEBI:25414 = CHEBI:25414'), ('calcium atom  = calcium atom', 'CHEBI:22984 = CHEBI:22984')]	3.16e-05	37.5
Q16099	1.A.10.1.9	P0AEQ3	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870')]	1.44e-08	30.108
A3I049	1.A.10.2.2	P0AEQ3	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870')]	3.77e-05	30.0
Q3B5G3	1.A.10.2.3	P0AEM9	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870')]	1.92e-09	30.682
Q3B5G3	1.A.10.2.3	P0AEQ3	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870')]	1.27e-10	30.075
P76298	1.A.104.1.1	Q47153	[('no_reaction_identified', 'no_reaction_identified')]	4.1499999999999996e-136	40.885
P76298	1.A.104.1.1	P76298	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
NCD33588.1	1.A.104.1.2	Q47153	[('no_reaction_identified', 'no_reaction_identified')]	2.92e-109	33.729
NCD33588.1	1.A.104.1.2	P76298	[('no_reaction_identified', 'no_reaction_identified')]	8.08e-175	40.778
WP_005673529.1	1.A.104.1.3	Q47153	[('no_reaction_identified', 'no_reaction_identified')]	1.87e-131	39.789
WP_005673529.1	1.A.104.1.3	P76298	[('no_reaction_identified', 'no_reaction_identified')]	0.0	54.964
WP_189658242.1	1.A.104.1.4	Q47153	[('no_reaction_identified', 'no_reaction_identified')]	4.8e-158	43.805
WP_189658242.1	1.A.104.1.4	P76298	[('no_reaction_identified', 'no_reaction_identified')]	0.0	53.949
P69681	1.A.11.1.1	P69681	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
AEJ03821.1	1.A.11.1.10	P69681	[('no_reaction_identified', 'no_reaction_identified')]	1.57e-125	52.723
P54146	1.A.11.1.2	P69681	[('no_reaction_identified', 'no_reaction_identified')]	1.3e-64	34.286
Q79VF1	1.A.11.1.3	P69681	[('no_reaction_identified', 'no_reaction_identified')]	1.32e-83	40.749
O67997	1.A.11.1.4	P69681	[('no_reaction_identified', 'no_reaction_identified')]	3.73e-120	51.25
O66515	1.A.11.1.5	P69681	[('no_reaction_identified', 'no_reaction_identified')]	1.63e-104	43.914
O29285	1.A.11.1.6	P69681	[('no_reaction_identified', 'no_reaction_identified')]	3.77e-87	39.348
Q9BLG4	1.A.11.1.7	P69681	[('no_reaction_identified', 'no_reaction_identified')]	7.180000000000001e-79	37.182
Q4DC59	1.A.11.1.8	P69681	[('no_reaction_identified', 'no_reaction_identified')]	1.13e-63	34.279
Q8DSV1	1.A.11.1.9	P69681	[('no_reaction_identified', 'no_reaction_identified')]	1.82e-94	42.432
P54144	1.A.11.2.1	P69681	[('no_reaction_identified', 'no_reaction_identified')]	2.52e-44	30.645
B8ZYW2	1.A.11.2.11	P69681	[('no_reaction_identified', 'no_reaction_identified')]	4.3600000000000004e-36	31.707
AFC35023.1	1.A.11.2.14	P69681	[('no_reaction_identified', 'no_reaction_identified')]	1.11e-40	30.734
Q9M6N7	1.A.11.2.2	P69681	[('no_reaction_identified', 'no_reaction_identified')]	4.58e-62	35.059
Q93IP6	1.A.11.2.3	P69681	[('no_reaction_identified', 'no_reaction_identified')]	6.21e-45	32.598
Q0IDE4	1.A.11.2.5	P69681	[('no_reaction_identified', 'no_reaction_identified')]	3.5599999999999997e-48	33.656
O28528	1.A.11.2.7	P69681	[('no_reaction_identified', 'no_reaction_identified')]	6.82e-44	31.19
P40260	1.A.11.3.1	P69681	[('no_reaction_identified', 'no_reaction_identified')]	3.48e-64	34.559
P41948	1.A.11.3.2	P69681	[('no_reaction_identified', 'no_reaction_identified')]	3.25e-63	35.476
Q8NKD5	1.A.11.3.3	P69681	[('no_reaction_identified', 'no_reaction_identified')]	4.75e-80	39.953
Q96UY0	1.A.11.3.4	P69681	[('no_reaction_identified', 'no_reaction_identified')]	2.88e-73	39.904
Q59UP8	1.A.11.3.5	P69681	[('no_reaction_identified', 'no_reaction_identified')]	3.9300000000000005e-70	38.702
Q02094	1.A.11.4.3	P69681	[('NH4(+) = NH4(+)', 'CHEBI:28938 = CHEBI:28938'), ('CO2 = CO2', 'CHEBI:16526 = CHEBI:16526'), ('methylamine = methylamine', 'CHEBI:59338 = CHEBI:59338')]	7.44e-08	31.461
Q3TWN3	1.A.112.1.1	P0AE78	[('no_reaction_identified', 'no_reaction_identified')]	1.24e-12	30.108
Q8NE01	1.A.112.1.3	P0AE78	[('no_reaction_identified', 'no_reaction_identified')]	1.57e-08	30.0
Q6P4Q7	1.A.112.1.4	P0AE78	[('no_reaction_identified', 'no_reaction_identified')]	6.22e-13	30.769
Q9H8M5	1.A.112.1.6	P0AE78	[('no_reaction_identified', 'no_reaction_identified')]	1.3e-12	30.108
PLS82034	1.A.112.2.1	P0AE78	[('no_reaction_identified', 'no_reaction_identified')]	1.09e-17	30.0
P0AE45	1.A.112.2.11	P76389	[('no_reaction_identified', 'no_reaction_identified')]	6.470000000000001e-31	32.353
P0AE45	1.A.112.2.11	P0AE45	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
W9BK01	1.A.112.2.12	P76389	[('no_reaction_identified', 'no_reaction_identified')]	6.08e-30	32.353
W9BK01	1.A.112.2.12	P0AE45	[('no_reaction_identified', 'no_reaction_identified')]	0.0	91.236
SDJ87353.1	1.A.112.2.13	P0AE78	[('no_reaction_identified', 'no_reaction_identified')]	3.47e-41	34.894
P54428	1.A.112.2.2	P0AE78	[('no_reaction_identified', 'no_reaction_identified')]	3.58e-37	32.937
P37908	1.A.112.2.5	P37908	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
SES26846.1	1.A.112.2.7	P76389	[('no_reaction_identified', 'no_reaction_identified')]	3.97e-26	31.25
SES26846.1	1.A.112.2.7	P37908	[('no_reaction_identified', 'no_reaction_identified')]	8.6e-154	50.369
P40471	1.A.115.1.1	P0AFP4	[('1,2,3-tri-(9Z-octadecenoyl)-glycerol + H2O = di-(9Z)-octadecenoylglycerol + (9Z)-octadecenoate + H(+)', 'CHEBI:53753 + CHEBI:15377 = CHEBI:75945 + CHEBI:30823 + CHEBI:15378'), ('a 1-acylglycerone 3-phosphate + NADPH + H(+) = a 1-acyl-sn-glycero-3-phosphate + NADP(+)', 'CHEBI:57534 + CHEBI:57783 + CHEBI:15378 = CHEBI:57970 + CHEBI:58349'), ('1-hexadecanoyl-sn-glycero-3-phosphate + NADP(+) = 1-hexadecanoylglycerone 3-phosphate + NADPH + H(+)', 'CHEBI:57518 + CHEBI:58349 = CHEBI:58303 + CHEBI:57783 + CHEBI:15378'), ('a triacylglycerol + H2O = a diacylglycerol + a fatty acid + H(+)', 'CHEBI:17855 + CHEBI:15377 = CHEBI:18035 + CHEBI:28868 + CHEBI:15378')]	9.12e-16	30.159
P40471	1.A.115.1.1	P0AG84	[('1,2,3-tri-(9Z-octadecenoyl)-glycerol + H2O = di-(9Z)-octadecenoylglycerol + (9Z)-octadecenoate + H(+)', 'CHEBI:53753 + CHEBI:15377 = CHEBI:75945 + CHEBI:30823 + CHEBI:15378'), ('a 1-acylglycerone 3-phosphate + NADPH + H(+) = a 1-acyl-sn-glycero-3-phosphate + NADP(+)', 'CHEBI:57534 + CHEBI:57783 + CHEBI:15378 = CHEBI:57970 + CHEBI:58349'), ('1-hexadecanoyl-sn-glycero-3-phosphate + NADP(+) = 1-hexadecanoylglycerone 3-phosphate + NADPH + H(+)', 'CHEBI:57518 + CHEBI:58349 = CHEBI:58303 + CHEBI:57783 + CHEBI:15378'), ('a triacylglycerol + H2O = a diacylglycerol + a fatty acid + H(+)', 'CHEBI:17855 + CHEBI:15377 = CHEBI:18035 + CHEBI:28868 + CHEBI:15378')]	1.5e-05	31.313
RZD32576	1.A.115.1.2	P0A9P9	[('no_reaction_identified', 'no_reaction_identified')]	1.16e-12	30.108
RZD32576	1.A.115.1.2	P15047	[('no_reaction_identified', 'no_reaction_identified')]	2.9e-15	30.688
RZD32576	1.A.115.1.2	P39333	[('no_reaction_identified', 'no_reaction_identified')]	1.62e-15	34.054
RZD32576	1.A.115.1.2	P31808	[('no_reaction_identified', 'no_reaction_identified')]	2.25e-18	32.292
RZD32576	1.A.115.1.2	P0AEK2	[('no_reaction_identified', 'no_reaction_identified')]	2.2700000000000003e-22	31.22
RZD32576	1.A.115.1.2	P37769	[('no_reaction_identified', 'no_reaction_identified')]	5.75e-15	31.183
RZD32576	1.A.115.1.2	P33368	[('no_reaction_identified', 'no_reaction_identified')]	1.1e-16	31.217
RZD32576	1.A.115.1.2	P0AFP4	[('no_reaction_identified', 'no_reaction_identified')]	1.1499999999999999e-23	31.633
RZD32576	1.A.115.1.2	P37440	[('no_reaction_identified', 'no_reaction_identified')]	6.42e-19	32.597
RZD32576	1.A.115.1.2	P52037	[('no_reaction_identified', 'no_reaction_identified')]	1.11e-08	30.052
WP_106247303.1	1.A.115.1.3	P15047	[('no_reaction_identified', 'no_reaction_identified')]	3.19e-15	31.285
WP_106247303.1	1.A.115.1.3	P0AFP4	[('no_reaction_identified', 'no_reaction_identified')]	1.18e-28	37.912
WP_106247303.1	1.A.115.1.3	P37440	[('no_reaction_identified', 'no_reaction_identified')]	1.35e-19	33.158
TGO72911.1	1.A.115.1.4	P0AG84	[('no_reaction_identified', 'no_reaction_identified')]	6.78e-05	33.019
WP_062382148.1	1.A.115.1.5	P0A9P9	[('no_reaction_identified', 'no_reaction_identified')]	8.0399999999999995e-28	30.522
WP_062382148.1	1.A.115.1.5	P15047	[('no_reaction_identified', 'no_reaction_identified')]	2.29e-25	34.413
WP_062382148.1	1.A.115.1.5	P39333	[('no_reaction_identified', 'no_reaction_identified')]	2.71e-22	30.894
WP_062382148.1	1.A.115.1.5	P31808	[('no_reaction_identified', 'no_reaction_identified')]	1.7400000000000003e-21	32.461
WP_062382148.1	1.A.115.1.5	P39831	[('no_reaction_identified', 'no_reaction_identified')]	8.82e-21	34.463
WP_062382148.1	1.A.115.1.5	P0AEK2	[('no_reaction_identified', 'no_reaction_identified')]	2.92e-28	31.873
WP_062382148.1	1.A.115.1.5	P37769	[('no_reaction_identified', 'no_reaction_identified')]	2.71e-19	30.0
WP_062382148.1	1.A.115.1.5	P0AFP4	[('no_reaction_identified', 'no_reaction_identified')]	1.06e-14	31.351
WP_062382148.1	1.A.115.1.5	P0AG84	[('no_reaction_identified', 'no_reaction_identified')]	1.68e-30	33.068
WP_062382148.1	1.A.115.1.5	P0AET8	[('no_reaction_identified', 'no_reaction_identified')]	1.01e-34	34.921
WP_062382148.1	1.A.115.1.5	P0CI31	[('no_reaction_identified', 'no_reaction_identified')]	3.85e-13	30.088
WP_062382148.1	1.A.115.1.5	P52037	[('no_reaction_identified', 'no_reaction_identified')]	4.8e-20	30.279
Q8F2Y8	1.A.12.2.2	P0ACA1	[('no_reaction_identified', 'no_reaction_identified')]	3.37e-11	32.5
P0ACA3	1.A.12.3.1	P0ACA3	[('no_reaction_identified', 'no_reaction_identified')]	5.03e-159	100.0
B7LBF5	1.A.12.3.2	P77544	[('no_reaction_identified', 'no_reaction_identified')]	8.900000000000001e-160	100.0
YP_009915690.1	1.A.120.1.1	P0A8D6	[('no_reaction_identified', 'no_reaction_identified')]	6.16e-10	33.333
P30405	1.A.129.1.1	P23869	[('[protein]-peptidylproline (omega=180) = [protein]-peptidylproline (omega=0)', 'CHEBI:83834 = CHEBI:83833')]	1.1e-11	34.722
P30405	1.A.129.1.1	P0AFL3	[('[protein]-peptidylproline (omega=180) = [protein]-peptidylproline (omega=0)', 'CHEBI:83834 = CHEBI:83833')]	3.93e-10	33.553
P76481	1.A.13.2.3	P76481	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
VIP05124.1	1.A.13.2.4	P76481	[('no_reaction_identified', 'no_reaction_identified')]	8.780000000000001e-132	43.908
KAG6474414.1	1.A.130.1.3	P60390	[('no_reaction_identified', 'no_reaction_identified')]	1.81e-09	30.0
Q8ZS13	1.A.136.1.1	P31463	[('no_reaction_identified', 'no_reaction_identified')]	6.85e-08	31.25
P0AAC6	1.A.14.2.1	P0AAC6	[('no_reaction_identified', 'no_reaction_identified')]	1.19e-154	100.0
P0AAC4	1.A.14.2.2	P0AAC4	[('no_reaction_identified', 'no_reaction_identified')]	9.23e-168	100.0
O31539	1.A.14.2.3	P0AAC4	[('no_reaction_identified', 'no_reaction_identified')]	7.71e-07	35.135
B7LC70	1.A.14.2.4	P75769	[('no_reaction_identified', 'no_reaction_identified')]	4.19e-157	91.561
A3CPR5	1.A.14.2.6	P0AAC4	[('no_reaction_identified', 'no_reaction_identified')]	4.19e-35	35.652
A3CPR5	1.A.14.2.6	P0AAC6	[('no_reaction_identified', 'no_reaction_identified')]	9.81e-09	30.065
B0CIK0	1.A.14.2.7	P0AAC4	[('no_reaction_identified', 'no_reaction_identified')]	8.459999999999999e-61	48.927
Q9BWQ8	1.A.14.3.16	P0AAC4	[('no_reaction_identified', 'no_reaction_identified')]	1.74e-05	32.886
Q7UU92	1.A.14.3.7	P0AAC6	[('no_reaction_identified', 'no_reaction_identified')]	6.7e-05	30.769
P0AC23	1.A.16.1.1	P77733	[('formate = formate', 'CHEBI:15740 = CHEBI:15740')]	4.2599999999999994e-95	50.355
P0AC23	1.A.16.1.1	P0AC23	[('formate = formate', 'CHEBI:15740 = CHEBI:15740')]	0.0	100.0
P77733	1.A.16.1.2	P77733	[('formate = formate', 'CHEBI:15740 = CHEBI:15740')]	0.0	100.0
P77733	1.A.16.1.2	P0AC23	[('formate = formate', 'CHEBI:15740 = CHEBI:15740')]	4.3e-95	50.355
F9A868	1.A.16.1.3	P0AC26	[('no_reaction_identified', 'no_reaction_identified')]	2.41e-15	31.507
F9A868	1.A.16.1.3	P77733	[('no_reaction_identified', 'no_reaction_identified')]	2.0100000000000002e-73	42.751
F9A868	1.A.16.1.3	P0AC23	[('no_reaction_identified', 'no_reaction_identified')]	3.3100000000000002e-105	54.307
P35839	1.A.16.2.1	P0AC26	[('no_reaction_identified', 'no_reaction_identified')]	1.84e-26	31.716
P35839	1.A.16.2.1	P0AC23	[('no_reaction_identified', 'no_reaction_identified')]	3.03e-28	31.164
Q5AST3	1.A.16.2.2	P0AC26	[('no_reaction_identified', 'no_reaction_identified')]	7.050000000000001e-21	34.673
Q9LE25	1.A.16.2.4	P0AC26	[('no_reaction_identified', 'no_reaction_identified')]	3.86e-24	34.375
