Reaction ID	Name	Subsystem	Reaction (IDs)	Reaction (Names)	Reaction (CHEBI)	Substrates (BiGG)	Genes	UIDs
ALATA_L2	Alanine transaminase	Cofactor and Prosthetic Group Biosynthesis	1.0 ala__L_c + 1.0 pydx5p_c = 1.0 pyam5p_c + 1.0 pyr_c	1.0 L-Alanine + 1.0 Pyridoxal 5'-phosphate = 1.0 Pyridoxamine 5'-phosphate + 1.0 Pyruvate	1.0 CHEBI:21216 + 1.0 CHEBI:8668 = 1.0 CHEBI:14980 + 1.0 CHEBI:26462	{'ala__L', 'pyr', 'pyam5p', 'pydx5p'}	ltaE, glyA	P75823, P0A825
DURIPP	Deoxyuridine phosphorylase	Nucleotide Salvage Pathway	1.0 duri_c + 1.0 pi_c = 1.0 2dr1p_c + 1.0 ura_c	1.0 Deoxyuridine + 1.0 Phosphate = 1.0 2-Deoxy-D-ribose 1-phosphate + 1.0 Uracil	1.0 CHEBI:46293 + 1.0 CHEBI:26078 = 1.0 CHEBI:28542 + 1.0 CHEBI:27210	{'duri', 'pi', '2dr1p', 'ura'}	deoA, deoD	P07650, P0ABP8
ACALD	Acetaldehyde dehydrogenase (acetylating)	Pyruvate Metabolism	1.0 acald_c + 1.0 coa_c + 1.0 nad_c = 1.0 accoa_c + 1.0 h_c + 1.0 nadh_c	1.0 Acetaldehyde + 1.0 Coenzyme A + 1.0 Nicotinamide adenine dinucleotide = 1.0 Acetyl-CoA + 1.0 H+ + 1.0 Nicotinamide adenine dinucleotide - reduced	1.0 CHEBI:40533 + 1.0 CHEBI:41631 + 1.0 CHEBI:7422 = 1.0 CHEBI:57288 + 1.0 CHEBI:5584 + 1.0 CHEBI:13395	{'acald', 'coa', 'accoa', 'nad', 'nadh', 'h'}	mhpF, adhE	P77580, P0A9Q7
PTRCTA	Putrescine Transaminase	Arginine and Proline Metabolism	1.0 akg_c + 1.0 ptrc_c = 1.0 4abutn_c + 1.0 glu__L_c	1.0 2-Oxoglutarate + 1.0 Putrescine = 1.0 4-Aminobutanal + 1.0 L-Glutamate	1.0 CHEBI:40661 + 1.0 CHEBI:8650 = 1.0 CHEBI:11960 + 1.0 CHEBI:76051	{'akg', 'glu__L', '4abutn', 'ptrc'}	patA	P42588
ACS	Acetyl-CoA synthetase	Pyruvate Metabolism	1.0 ac_c + 1.0 atp_c + 1.0 coa_c = 1.0 accoa_c + 1.0 amp_c + 1.0 ppi_c	1.0 Acetate + 1.0 ATP C10H12N5O13P3 + 1.0 Coenzyme A = 1.0 Acetyl-CoA + 1.0 AMP C10H12N5O7P + 1.0 Diphosphate	1.0 CHEBI:13704 + 1.0 CHEBI:15422 + 1.0 CHEBI:41631 = 1.0 CHEBI:57288 + 1.0 CHEBI:13736 + 1.0 CHEBI:45212	{'atp', 'coa', 'accoa', 'ppi', 'amp', 'ac'}	acs	P27550
CYSDS	Cysteine Desulfhydrase	Cysteine Metabolism	1.0 cys__L_c + 1.0 h2o_c = 1.0 h2s_c + 1.0 nh4_c + 1.0 pyr_c	1.0 L-Cysteine + 1.0 H2O H2O = 1.0 Hydrogen sulfide + 1.0 Ammonium + 1.0 Pyruvate	1.0 CHEBI:32457 + 1.0 CHEBI:13352 = 1.0 CHEBI:14414 + 1.0 CHEBI:44284 + 1.0 CHEBI:26462	{'nh4', 'h2s', 'cys__L', 'h2o', 'pyr'}	metC, tnaA	P06721, P0A853
MAN6PI	Mannose-6-phosphate isomerase	Alternate Carbon Metabolism	1.0 man6p_c = 1.0 f6p_c	1.0 D-Mannose 6-phosphate = 1.0 D-Fructose 6-phosphate	1.0 CHEBI:58735 = 1.0 CHEBI:16084	{'man6p', 'f6p'}	manA	P00946
PPA	Inorganic diphosphatase	Anaplerotic Reactions	1.0 h2o_c + 1.0 ppi_c = 1.0 h_c + 2.0 pi_c	1.0 H2O H2O + 1.0 Diphosphate = 1.0 H+ + 2.0 Phosphate	1.0 CHEBI:13352 + 1.0 CHEBI:45212 = 1.0 CHEBI:5584 + 2.0 CHEBI:26078	{'h', 'pi', 'ppi', 'h2o'}	umpG, ppx, ppa	P0A840, P0AFL6, P0A7A9
APRAUR	5-amino-6-(5-phosphoribosylamino)uracil reductase	Cofactor and Prosthetic Group Biosynthesis	1.0 5apru_c + 1.0 h_c + 1.0 nadph_c = 1.0 5aprbu_c + 1.0 nadp_c	1.0 5-Amino-6-(5'-phosphoribosylamino)uracil + 1.0 H+ + 1.0 Nicotinamide adenine dinucleotide phosphate - reduced = 1.0 5-Amino-6-(5'-phosphoribitylamino)uracil + 1.0 Nicotinamide adenine dinucleotide phosphate	1.0 CHEBI:12108 + 1.0 CHEBI:5584 + 1.0 CHEBI:16474 = 1.0 CHEBI:2031 + 1.0 CHEBI:29868	{'5aprbu', 'nadp', 'nadph', '5apru', 'h'}	ribD	P25539
TRPAS2	Tryptophanase (L-tryptophan)	Tyrosine, Tryptophan, and Phenylalanine Metabolism	1.0 h2o_c + 1.0 trp__L_c = 1.0 indole_c + 1.0 nh4_c + 1.0 pyr_c	1.0 H2O H2O + 1.0 L-Tryptophan = 1.0 Indole + 1.0 Ammonium + 1.0 Pyruvate	1.0 CHEBI:13352 + 1.0 CHEBI:13178 = 1.0 CHEBI:43537 + 1.0 CHEBI:44284 + 1.0 CHEBI:26462	{'nh4', 'h2o', 'pyr', 'indole', 'trp__L'}	tnaA	P0A853
PPCK	Phosphoenolpyruvate carboxykinase	Anaplerotic Reactions	1.0 atp_c + 1.0 oaa_c = 1.0 adp_c + 1.0 co2_c + 1.0 pep_c	1.0 ATP C10H12N5O13P3 + 1.0 Oxaloacetate = 1.0 ADP C10H12N5O10P2 + 1.0 CO2 CO2 + 1.0 Phosphoenolpyruvate	1.0 CHEBI:15422 + 1.0 CHEBI:25731 = 1.0 CHEBI:2342 + 1.0 CHEBI:23011 + 1.0 CHEBI:18021	{'atp', 'pep', 'oaa', 'adp', 'co2'}	pck	P22259
ME1	Malic enzyme (NAD)	Anaplerotic Reactions	1.0 mal__L_c + 1.0 nad_c = 1.0 co2_c + 1.0 nadh_c + 1.0 pyr_c	1.0 L-Malate + 1.0 Nicotinamide adenine dinucleotide = 1.0 CO2 CO2 + 1.0 Nicotinamide adenine dinucleotide - reduced + 1.0 Pyruvate	1.0 CHEBI:15589 + 1.0 CHEBI:7422 = 1.0 CHEBI:23011 + 1.0 CHEBI:13395 + 1.0 CHEBI:26462	{'co2', 'pyr', 'mal__L', 'nad', 'nadh'}	maeA	P26616
DB4PS	3,4-Dihydroxy-2-butanone-4-phosphate synthase	Cofactor and Prosthetic Group Biosynthesis	1.0 ru5p__D_c = 1.0 db4p_c + 1.0 for_c + 1.0 h_c	1.0 D-Ribulose 5-phosphate = 1.0 3,4-dihydroxy-2-butanone 4-phosphate + 1.0 Formate + 1.0 H+	1.0 CHEBI:40192 = 1.0 CHEBI:50606 + 1.0 CHEBI:24081 + 1.0 CHEBI:5584	{'ru5p__D', 'for', 'db4p', 'h'}	ribB	P0A7J0
ALAR	Alanine racemase	Alanine and Aspartate Metabolism	1.0 ala__L_c = 1.0 ala__D_c	1.0 L-Alanine = 1.0 D-Alanine	1.0 CHEBI:21216 = 1.0 CHEBI:12899	{'ala__L', 'ala__D'}	dadX, alr	P29012, P0A6B4
RBFK	Riboflavin kinase	Cofactor and Prosthetic Group Biosynthesis	1.0 atp_c + 1.0 ribflv_c = 1.0 adp_c + 1.0 fmn_c + 1.0 h_c	1.0 ATP C10H12N5O13P3 + 1.0 Riboflavin C17H20N4O6 = 1.0 ADP C10H12N5O10P2 + 1.0 FMN C17H19N4O9P + 1.0 H+	1.0 CHEBI:15422 + 1.0 CHEBI:57986 = 1.0 CHEBI:2342 + 1.0 CHEBI:58210 + 1.0 CHEBI:5584	{'atp', 'ribflv', 'adp', 'fmn', 'h'}	ribF	P0AG40
ALATA_L	L-alanine transaminase	Alanine and Aspartate Metabolism	1.0 akg_c + 1.0 ala__L_c = 1.0 glu__L_c + 1.0 pyr_c	1.0 2-Oxoglutarate + 1.0 L-Alanine = 1.0 L-Glutamate + 1.0 Pyruvate	1.0 CHEBI:40661 + 1.0 CHEBI:21216 = 1.0 CHEBI:76051 + 1.0 CHEBI:26462	{'ala__L', 'akg', 'glu__L', 'pyr'}	alaA, alaC	P0A959, P77434
XYLK	Xylulokinase	Alternate Carbon Metabolism	1.0 atp_c + 1.0 xylu__D_c = 1.0 adp_c + 1.0 h_c + 1.0 xu5p__D_c	1.0 ATP C10H12N5O13P3 + 1.0 D-Xylulose = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 D-Xylulose 5-phosphate	1.0 CHEBI:15422 + 1.0 CHEBI:4268 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:13036	{'atp', 'xylu__D', 'adp', 'xu5p__D', 'h'}	araB, xylB	P08204, P09099
RBK	Ribokinase	Alternate Carbon Metabolism	1.0 atp_c + 1.0 rib__D_c = 1.0 adp_c + 1.0 h_c + 1.0 r5p_c	1.0 ATP C10H12N5O13P3 + 1.0 D-Ribose = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Alpha-D-Ribose 5-phosphate	1.0 CHEBI:15422 + 1.0 CHEBI:13011 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:18189	{'atp', 'adp', 'r5p', 'rib__D', 'h'}	rbsK	P0A9J6
GLYK	Glycerol kinase	Alternate Carbon Metabolism	1.0 atp_c + 1.0 glyc_c = 1.0 adp_c + 1.0 glyc3p_c + 1.0 h_c	1.0 ATP C10H12N5O13P3 + 1.0 Glycerol = 1.0 ADP C10H12N5O10P2 + 1.0 Glycerol 3-phosphate + 1.0 H+	1.0 CHEBI:15422 + 1.0 CHEBI:5448 = 1.0 CHEBI:2342 + 1.0 CHEBI:12843 + 1.0 CHEBI:5584	{'atp', 'adp', 'glyc3p', 'glyc', 'h'}	glpK	P0A6F3
PPM	Phosphopentomutase	Alternate Carbon Metabolism	1.0 r1p_c = 1.0 r5p_c	1.0 Alpha-D-Ribose 1-phosphate = 1.0 Alpha-D-Ribose 5-phosphate	1.0 CHEBI:16300 = 1.0 CHEBI:18189	{'r1p', 'r5p'}	deoB	P0A6K6
ASPTA	Aspartate transaminase	Alanine and Aspartate Metabolism	1.0 akg_c + 1.0 asp__L_c = 1.0 glu__L_c + 1.0 oaa_c	1.0 2-Oxoglutarate + 1.0 L-Aspartate = 1.0 L-Glutamate + 1.0 Oxaloacetate	1.0 CHEBI:40661 + 1.0 CHEBI:17053 = 1.0 CHEBI:76051 + 1.0 CHEBI:25731	{'akg', 'glu__L', 'asp__L', 'oaa'}	aspC, tyrB	P00509, P04693
ACP1_FMN	Acid phosphatase (FMN)	Cofactor and Prosthetic Group Biosynthesis	1.0 fmn_c + 1.0 h2o_c = 1.0 pi_c + 1.0 ribflv_c	1.0 FMN C17H19N4O9P + 1.0 H2O H2O = 1.0 Phosphate + 1.0 Riboflavin C17H20N4O6	1.0 CHEBI:58210 + 1.0 CHEBI:13352 = 1.0 CHEBI:26078 + 1.0 CHEBI:57986	{'pi', 'ribflv', 'fmn', 'h2o'}	yigB, cof, ybjI	P0ADP0, P46891, P75809
RBFSb	Riboflavin synthase	Cofactor and Prosthetic Group Biosynthesis	2.0 dmlz_c = 1.0 4r5au_c + 1.0 ribflv_c	2.0 6,7-Dimethyl-8-(1-D-ribityl)lumazine = 1.0 4-(1-D-Ribitylamino)-5-aminouracil + 1.0 Riboflavin C17H20N4O6	2.0 CHEBI:20682 = 1.0 CHEBI:20283 + 1.0 CHEBI:57986	{'dmlz', 'ribflv', '4r5au'}	ribC	P0AFU8
NDP3	Nucleoside diphosphatase  GDP 	Nucleotide Salvage Pathway	1.0 gdp_c + 1.0 h2o_c = 1.0 gmp_c + 1.0 h_c + 1.0 pi_c	1.0 GDP C10H12N5O11P2 + 1.0 H2O H2O = 1.0 GMP C10H12N5O8P + 1.0 H+ + 1.0 Phosphate	1.0 CHEBI:5212 + 1.0 CHEBI:13352 = 1.0 CHEBI:24449 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078	{'gdp', 'gmp', 'h2o', 'pi', 'h'}	nudJ, yibQ	P0AEI6, P37691
CDPPH	CDP phosphohydrolase	Nucleotide Salvage Pathway	1.0 cdp_c + 1.0 h2o_c = 1.0 cmp_c + 1.0 h_c + 1.0 pi_c	1.0 CDP C9H12N3O11P2 + 1.0 H2O H2O = 1.0 CMP C9H12N3O8P + 1.0 H+ + 1.0 Phosphate	1.0 CHEBI:41451 + 1.0 CHEBI:13352 = 1.0 CHEBI:60377 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078	{'cmp', 'h2o', 'pi', 'cdp', 'h'}	yibQ	P37691
NDP7	Nucleoside diphosphatase  UDP 	Nucleotide Salvage Pathway	1.0 h2o_c + 1.0 udp_c = 1.0 h_c + 1.0 pi_c + 1.0 ump_c	1.0 H2O H2O + 1.0 UDP C9H11N2O12P2 = 1.0 H+ + 1.0 Phosphate + 1.0 UMP C9H11N2O9P	1.0 CHEBI:13352 + 1.0 CHEBI:13445 = 1.0 CHEBI:5584 + 1.0 CHEBI:26078 + 1.0 CHEBI:47721	{'h2o', 'pi', 'udp', 'ump', 'h'}	yibQ	P37691
FBP	Fructose-bisphosphatase	Glycolysis/Gluconeogenesis	1.0 fdp_c + 1.0 h2o_c = 1.0 f6p_c + 1.0 pi_c	1.0 D-Fructose 1,6-bisphosphate + 1.0 H2O H2O = 1.0 D-Fructose 6-phosphate + 1.0 Phosphate	1.0 CHEBI:37736 + 1.0 CHEBI:13352 = 1.0 CHEBI:16084 + 1.0 CHEBI:26078	{'fdp', 'pi', 'f6p', 'h2o'}	fbp, glpX, yggF, yidA	P0A993, P0A9C9, P21437, P0A8Y5
EX_pi_e	Phosphate exchange	Extracellular exchange	1.0 pi_e = 	1.0 Phosphate = 	1.0 CHEBI:26078 = 	{'pi'}	Unknown	Unknown
GLGC	Glucose-1-phosphate adenylyltransferase	Glycolysis/Gluconeogenesis	1.0 atp_c + 1.0 g1p_c + 1.0 h_c = 1.0 adpglc_c + 1.0 ppi_c	1.0 ATP C10H12N5O13P3 + 1.0 D-Glucose 1-phosphate + 1.0 H+ = 1.0 ADPglucose C16H23N5O15P2 + 1.0 Diphosphate	1.0 CHEBI:15422 + 1.0 CHEBI:10246 + 1.0 CHEBI:5584 = 1.0 CHEBI:40615 + 1.0 CHEBI:45212	{'atp', 'ppi', 'g1p', 'adpglc', 'h'}	glgC	P0A6V1
ALATA_D2	D-alanine transaminase	Cofactor and Prosthetic Group Biosynthesis	1.0 ala__D_c + 1.0 pydx5p_c = 1.0 pyam5p_c + 1.0 pyr_c	1.0 D-Alanine + 1.0 Pyridoxal 5'-phosphate = 1.0 Pyridoxamine 5'-phosphate + 1.0 Pyruvate	1.0 CHEBI:12899 + 1.0 CHEBI:8668 = 1.0 CHEBI:14980 + 1.0 CHEBI:26462	{'pyr', 'ala__D', 'pyam5p', 'pydx5p'}	glyA, ltaE	P0A825, P75823
PYK	Pyruvate kinase	Glycolysis/Gluconeogenesis	1.0 adp_c + 1.0 h_c + 1.0 pep_c = 1.0 atp_c + 1.0 pyr_c	1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Phosphoenolpyruvate = 1.0 ATP C10H12N5O13P3 + 1.0 Pyruvate	1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:18021 = 1.0 CHEBI:15422 + 1.0 CHEBI:26462	{'atp', 'pep', 'adp', 'pyr', 'h'}	pykA, pykF	P21599, P0AD61
SHCHD2	Sirohydrochlorin dehydrogenase (NAD)	Cofactor and Prosthetic Group Biosynthesis	1.0 dscl_c + 1.0 nad_c = 1.0 h_c + 1.0 nadh_c + 1.0 scl_c	1.0 Dihydrosirohydrochlorin + 1.0 Nicotinamide adenine dinucleotide = 1.0 H+ + 1.0 Nicotinamide adenine dinucleotide - reduced + 1.0 Sirohydrochlorin	1.0 CHEBI:58827 + 1.0 CHEBI:7422 = 1.0 CHEBI:5584 + 1.0 CHEBI:13395 + 1.0 CHEBI:58351	{'scl', 'dscl', 'nad', 'nadh', 'h'}	cysG	P0AEA8
EX_co2_e	CO2 exchange	Extracellular exchange	1.0 co2_e = 	1.0 CO2 CO2 = 	1.0 CHEBI:23011 = 	{'co2'}	Unknown	Unknown
A5PISO	Arabinose-5-phosphate isomerase	Alternate Carbon Metabolism	1.0 ru5p__D_c = 1.0 ara5p_c	1.0 D-Ribulose 5-phosphate = 1.0 D-Arabinose 5-phosphate	1.0 CHEBI:40192 = 1.0 CHEBI:12916	{'ru5p__D', 'ara5p'}	kdsD, srlQ	P45395, P17115
PMDPHT	Pyrimidine phosphatase	Cofactor and Prosthetic Group Biosynthesis	1.0 5aprbu_c + 1.0 h2o_c = 1.0 4r5au_c + 1.0 pi_c	1.0 5-Amino-6-(5'-phosphoribitylamino)uracil + 1.0 H2O H2O = 1.0 4-(1-D-Ribitylamino)-5-aminouracil + 1.0 Phosphate	1.0 CHEBI:2031 + 1.0 CHEBI:13352 = 1.0 CHEBI:20283 + 1.0 CHEBI:26078	{'pi', '5aprbu', '4r5au', 'h2o'}	ybjI, yigB	P75809, P0ADP0
CPPPGO	Coproporphyrinogen oxidase (O2 required)	Cofactor and Prosthetic Group Biosynthesis	1.0 cpppg3_c + 2.0 h_c + 1.0 o2_c = 2.0 co2_c + 2.0 h2o_c + 1.0 pppg9_c	1.0 Coproporphyrinogen III + 2.0 H+ + 1.0 O2 O2 = 2.0 CO2 CO2 + 2.0 H2O H2O + 1.0 Protoporphyrinogen IX	1.0 CHEBI:15439 + 2.0 CHEBI:5584 + 1.0 CHEBI:7860 = 2.0 CHEBI:23011 + 2.0 CHEBI:13352 + 1.0 CHEBI:57307	{'cpppg3', 'pppg9', 'o2', 'h2o', 'co2', 'h'}	hemF	P36553
EX_met__L_e	L-Methionine exchange	Extracellular exchange	1.0 met__L_e = 	1.0 L-Methionine = 	1.0 CHEBI:32644 = 	{'met__L'}	Unknown	Unknown
GTHOr	Glutathione oxidoreductase	Cofactor and Prosthetic Group Biosynthesis	1.0 gthox_c + 1.0 h_c + 1.0 nadph_c = 2.0 gthrd_c + 1.0 nadp_c	1.0 Oxidized glutathione + 1.0 H+ + 1.0 Nicotinamide adenine dinucleotide phosphate - reduced = 2.0 Reduced glutathione + 1.0 Nicotinamide adenine dinucleotide phosphate	1.0 CHEBI:42832 + 1.0 CHEBI:5584 + 1.0 CHEBI:16474 = 2.0 CHEBI:43049 + 1.0 CHEBI:29868	{'nadp', 'nadph', 'gthox', 'gthrd', 'h'}	gor	P06715
ILETA	Isoleucine transaminase	Valine, Leucine, and Isoleucine Metabolism	1.0 akg_c + 1.0 ile__L_c = 1.0 3mop_c + 1.0 glu__L_c	1.0 2-Oxoglutarate + 1.0 L-Isoleucine = 1.0 (S)-3-Methyl-2-oxopentanoate + 1.0 L-Glutamate	1.0 CHEBI:40661 + 1.0 CHEBI:43290 = 1.0 CHEBI:18568 + 1.0 CHEBI:76051	{'3mop', 'akg', 'glu__L', 'ile__L'}	ilvE	P0AB80
DHORD5	Dihydroorotic acid (menaquinone-8)	Purine and Pyrimidine Biosynthesis	1.0 dhor__S_c + 1.0 mqn8_c = 1.0 mql8_c + 1.0 orot_c	1.0 (S)-Dihydroorotate + 1.0 Menaquinone 8 = 1.0 Menaquinol 8 + 1.0 Orotate C5H3N2O4	1.0 CHEBI:417 + 1.0 CHEBI:44027 = 1.0 CHEBI:61684 + 1.0 CHEBI:14698	{'orot', 'mqn8', 'dhor__S', 'mql8'}	pyrD	P0A7E1
EX_metsox_S__L_e	L-Methionine S-oxide exchange	Extracellular exchange	1.0 metsox_S__L_e = 	1.0 L-Methionine Sulfoxide = 	1.0 CHEBI:6272 = 	{'metsox_S__L'}	Unknown	Unknown
GLYCTO2	Glycolate oxidase	Alternate Carbon Metabolism	1.0 glyclt_c + 1.0 q8_c = 1.0 glx_c + 1.0 q8h2_c	1.0 Glycolate C2H3O3 + 1.0 Ubiquinone-8 = 1.0 Glyoxylate + 1.0 Ubiquinol-8	1.0 CHEBI:24388 + 1.0 CHEBI:61683 = 1.0 CHEBI:24420 + 1.0 CHEBI:61682	{'glx', 'glyclt', 'q8h2', 'q8'}	glcD, glcE, glcF	P0AEP9, P52073, P52074
