Reaction ID	Name	Subsystem	Reaction (IDs)	Reaction (Names)	Reaction (CHEBI)	Substrates (BiGG)	Genes	UIDs
SUCptspp	Sucrose transport via PEP:Pyr  (periplasm)	Transport, Inner Membrane	1.0 pep_c + 1.0 sucr_p = 1.0 pyr_c + 1.0 suc6p_c	1.0 Phosphoenolpyruvate + 1.0 Sucrose C12H22O11 = 1.0 Pyruvate + 1.0 Sucrose 6-phosphate	1.0 CHEBI:18021 + 1.0 CHEBI:9314 = 1.0 CHEBI:26462 + 1.0 CHEBI:9315	{'pyr', 'sucr', 'pep', 'suc6p'}	crr, ptsH, ptsI, murP	P69783, P0AA04, P08839, P77272
SULabcpp	Sulfate transport via ABC system (periplasm)	Inorganic Ion Transport and Metabolism	1.0 atp_c + 1.0 h2o_c + 1.0 so4_p = 1.0 adp_c + 1.0 h_c + 1.0 pi_c + 1.0 so4_c	1.0 ATP C10H12N5O13P3 + 1.0 H2O H2O + 1.0 Sulfate = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Phosphate + 1.0 Sulfate	1.0 CHEBI:15422 + 1.0 CHEBI:13352 + 1.0 CHEBI:15135 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078 + 1.0 CHEBI:15135	{'pi', 'atp', 'h', 'so4', 'h2o', 'adp'}	cysW, cysU, cysA, cysP, modB, modC, modA, cysA, cysW, cysU, sbp	P0AEB0, P16701, P16676, P16700, P0AF01, P09833, P37329, P0AG78
TSULabcpp	Thiosulfate transport via ABC system (periplasm)	Inorganic Ion Transport and Metabolism	1.0 atp_c + 1.0 h2o_c + 1.0 tsul_p = 1.0 adp_c + 1.0 h_c + 1.0 pi_c + 1.0 tsul_c	1.0 ATP C10H12N5O13P3 + 1.0 H2O H2O + 1.0 Thiosulfate = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Phosphate + 1.0 Thiosulfate	1.0 CHEBI:15422 + 1.0 CHEBI:13352 + 1.0 CHEBI:33540 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078 + 1.0 CHEBI:33540	{'pi', 'atp', 'h', 'tsul', 'h2o', 'adp'}	cysW, cysA, cysU, sbp, cysA, cysP, cysU, cysW	P0AEB0, P16676, P16701, P0AG78, P16700
TARTRt7pp	Tartrate/succinate antiporter (periplasm)	Transport, Inner Membrane	1.0 succ_c + 1.0 tartr__L_p = 1.0 succ_p + 1.0 tartr__L_c	1.0 Succinate + 1.0 L-tartrate = 1.0 Succinate + 1.0 L-tartrate	1.0 CHEBI:22941 + 1.0 CHEBI:15193 = 1.0 CHEBI:22941 + 1.0 CHEBI:15193	{'succ', 'tartr__L'}	ttdT	P39414
TAURabcpp	Taurine transport via ABC system (periplasm)	Transport, Inner Membrane	1.0 atp_c + 1.0 h2o_c + 1.0 taur_p = 1.0 adp_c + 1.0 h_c + 1.0 pi_c + 1.0 taur_c	1.0 ATP C10H12N5O13P3 + 1.0 H2O H2O + 1.0 Taurine C2H7NO3S = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Phosphate + 1.0 Taurine C2H7NO3S	1.0 CHEBI:15422 + 1.0 CHEBI:13352 + 1.0 CHEBI:32970 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078 + 1.0 CHEBI:32970	{'pi', 'atp', 'h', 'h2o', 'adp', 'taur'}	tauA, tauC, tauB	Q47537, Q47539, Q47538
THMDt2pp_copy1	Thymidine transport in via proton symport (periplasm)	Transport, Inner Membrane	1.0 h_p + 1.0 thymd_p = 1.0 h_c + 1.0 thymd_c	1.0 H+ + 1.0 Thymidine C10H14N2O5 = 1.0 H+ + 1.0 Thymidine C10H14N2O5	1.0 CHEBI:5584 + 1.0 CHEBI:45834 = 1.0 CHEBI:5584 + 1.0 CHEBI:45834	{'thymd', 'h'}	nupG, nupC	P0AFF4, P0AFF2
NMNt7pp	NMN transport via NMN glycohydrolase (periplasm)	Transport, Inner Membrane	1.0 h2o_c + 1.0 nmn_p = 1.0 h_c + 1.0 ncam_c + 1.0 r5p_c	1.0 H2O H2O + 1.0 NMN C11H14N2O8P = 1.0 H+ + 1.0 Nicotinamide + 1.0 Alpha-D-Ribose 5-phosphate	1.0 CHEBI:13352 + 1.0 CHEBI:14648 = 1.0 CHEBI:5584 + 1.0 CHEBI:14645 + 1.0 CHEBI:18189	{'h', 'ncam', 'nmn', 'h2o', 'r5p'}	Unknown	Unknown
GLUtex	L-glutamate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 glu__L_e = 1.0 glu__L_p	1.0 L-Glutamate = 1.0 L-Glutamate	1.0 CHEBI:76051 = 1.0 CHEBI:76051	{'glu__L'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
Kt2pp	Potassium transport in via proton symport (periplasm)	Inorganic Ion Transport and Metabolism	1.0 h_p + 1.0 k_p = 1.0 h_c + 1.0 k_c	1.0 H+ + 1.0 Potassium = 1.0 H+ + 1.0 Potassium	1.0 CHEBI:5584 + 1.0 CHEBI:26219 = 1.0 CHEBI:5584 + 1.0 CHEBI:26219	{'k', 'h'}	trkH, sapD, trkA, kch, sapD, trkG, trkA, kup	P0AFZ7, P0AAH4, P0AGI8, P31069, P23849, P63183
GLYtex	Glycine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 gly_e = 1.0 gly_p	1.0 Glycine = 1.0 Glycine	1.0 CHEBI:32508 = 1.0 CHEBI:32508	{'gly'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
GLYALDtex	Glyceraldehyde transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 glyald_e = 1.0 glyald_p	1.0 D-Glyceraldehyde = 1.0 D-Glyceraldehyde	1.0 CHEBI:17378 = 1.0 CHEBI:17378	{'glyald'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
AKGt2rpp	2-oxoglutarate reversible transport via symport (periplasm)	Transport, Inner Membrane	1.0 akg_p + 1.0 h_p = 1.0 akg_c + 1.0 h_c	1.0 2-Oxoglutarate + 1.0 H+ = 1.0 2-Oxoglutarate + 1.0 H+	1.0 CHEBI:40661 + 1.0 CHEBI:5584 = 1.0 CHEBI:40661 + 1.0 CHEBI:5584	{'akg', 'h'}	kgtP	P0AEX3
XYLt2pp	D-xylose transport in via proton symport (periplasm)	Transport, Inner Membrane	1.0 h_p + 1.0 xyl__D_p = 1.0 h_c + 1.0 xyl__D_c	1.0 H+ + 1.0 D-Xylose = 1.0 H+ + 1.0 D-Xylose	1.0 CHEBI:5584 + 1.0 CHEBI:65327 = 1.0 CHEBI:5584 + 1.0 CHEBI:65327	{'xyl__D', 'h'}	xylE	P0AGF4
GLYBtex	Glycine betaine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 glyb_e = 1.0 glyb_p	1.0 Glycine betaine = 1.0 Glycine betaine	1.0 CHEBI:27128 = 1.0 CHEBI:27128	{'glyb'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
GLYCtex	Glycerol transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 glyc_e = 1.0 glyc_p	1.0 Glycerol = 1.0 Glycerol	1.0 CHEBI:5448 = 1.0 CHEBI:5448	{'glyc'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
GLYC3Ptex	Glycerol-3-phosphate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 glyc3p_e = 1.0 glyc3p_p	1.0 Glycerol 3-phosphate = 1.0 Glycerol 3-phosphate	1.0 CHEBI:12843 = 1.0 CHEBI:12843	{'glyc3p'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
GLYCLTtex	Glycolate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 glyclt_e = 1.0 glyclt_p	1.0 Glycolate C2H3O3 = 1.0 Glycolate C2H3O3	1.0 CHEBI:24388 = 1.0 CHEBI:24388	{'glyclt'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
GTPtex	GTP transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 gtp_e = 1.0 gtp_p	1.0 GTP C10H12N5O14P3 = 1.0 GTP C10H12N5O14P3	1.0 CHEBI:37565 = 1.0 CHEBI:37565	{'gtp'}	ompN, ompC, phoE, ompF	P77747, P06996, P02932, P02931
GUAtex	Guanine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane	1.0 gua_e = 1.0 gua_p	1.0 Guanine = 1.0 Guanine	1.0 CHEBI:16235 = 1.0 CHEBI:16235	{'gua'}	tsx	P0A927
Htex	Proton transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 h_e = 1.0 h_p	1.0 H+ = 1.0 H+	1.0 CHEBI:5584 = 1.0 CHEBI:5584	{'h'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
H2tex	Hydrogen transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 h2_e = 1.0 h2_p	1.0 Hydrogen = 1.0 Hydrogen	1.0 CHEBI:18276 = 1.0 CHEBI:18276	{'h2'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
H2Otex	H2O transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 h2o_e = 1.0 h2o_p	1.0 H2O H2O = 1.0 H2O H2O	1.0 CHEBI:13352 = 1.0 CHEBI:13352	{'h2o'}	ompL, , ompG, ompA, ompC, phoE, ompN, ompF	P76773, Unknown, P76045, P0A910, P06996, P02932, P77747, P02931
O2tpp	O2 transport via diffusion (periplasm)	Inorganic Ion Transport and Metabolism	1.0 o2_p = 1.0 o2_c	1.0 O2 O2 = 1.0 O2 O2	1.0 CHEBI:7860 = 1.0 CHEBI:7860	{'o2'}		Unknown
PYRt2rpp	Pyruvate reversible transport via proton symport (periplasm)	Transport, Inner Membrane	1.0 h_p + 1.0 pyr_p = 1.0 h_c + 1.0 pyr_c	1.0 H+ + 1.0 Pyruvate = 1.0 H+ + 1.0 Pyruvate	1.0 CHEBI:5584 + 1.0 CHEBI:26462 = 1.0 CHEBI:5584 + 1.0 CHEBI:26462	{'pyr', 'h'}	Unknown	Unknown
THMabcpp	Thiamine transport via ABC system (periplasm)	Transport, Inner Membrane	1.0 atp_c + 1.0 h2o_c + 1.0 thm_p = 1.0 adp_c + 1.0 h_c + 1.0 pi_c + 1.0 thm_c	1.0 ATP C10H12N5O13P3 + 1.0 H2O H2O + 1.0 Thiamin = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Phosphate + 1.0 Thiamin	1.0 CHEBI:15422 + 1.0 CHEBI:13352 + 1.0 CHEBI:33283 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078 + 1.0 CHEBI:33283	{'thm', 'pi', 'atp', 'h', 'h2o', 'adp'}	thiQ, thiB, thiP	P31548, P31550, P31549
THMDt2pp_copy2	Thymidine transport in via proton symport (periplasm)	Transport, Inner Membrane	1.0 h_p + 1.0 thymd_p = 1.0 h_c + 1.0 thymd_c	1.0 H+ + 1.0 Thymidine C10H14N2O5 = 1.0 H+ + 1.0 Thymidine C10H14N2O5	1.0 CHEBI:5584 + 1.0 CHEBI:45834 = 1.0 CHEBI:5584 + 1.0 CHEBI:45834	{'thymd', 'h'}	xapB	P45562
THRabcpp	L-threonine transport via ABC system (periplasm)	Transport, Inner Membrane	1.0 atp_c + 1.0 h2o_c + 1.0 thr__L_p = 1.0 adp_c + 1.0 h_c + 1.0 pi_c + 1.0 thr__L_c	1.0 ATP C10H12N5O13P3 + 1.0 H2O H2O + 1.0 L-Threonine = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Phosphate + 1.0 L-Threonine	1.0 CHEBI:15422 + 1.0 CHEBI:13352 + 1.0 CHEBI:16857 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078 + 1.0 CHEBI:16857	{'pi', 'atp', 'h', 'h2o', 'thr__L', 'adp'}	livM, livG, livJ, livH, livF	P22729, P0A9S7, P0AD96, P0AEX7, P22731
TREptspp	Trehalose transport via PEP:Pyr PTS (periplasm)	Transport, Inner Membrane	1.0 pep_c + 1.0 tre_p = 1.0 pyr_c + 1.0 tre6p_c	1.0 Phosphoenolpyruvate + 1.0 Trehalose = 1.0 Pyruvate + 1.0 Alpha,alpha'-Trehalose 6-phosphate	1.0 CHEBI:18021 + 1.0 CHEBI:46211 = 1.0 CHEBI:26462 + 1.0 CHEBI:12285	{'pyr', 'tre6p', 'pep', 'tre'}	crr, treB, ptsI, ptsH	P69783, P36672, P08839, P0AA04
XANtpp	Xanthine reversible transport (periplasm)	Transport, Inner Membrane	1.0 xan_p = 1.0 xan_c	1.0 Xanthine = 1.0 Xanthine	1.0 CHEBI:15318 = 1.0 CHEBI:15318	{'xan'}	Unknown	Unknown
DAPtex	1,5-Diaminopentane transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 15dap_e = 1.0 15dap_p	1.0 1,5-Diaminopentane = 1.0 1,5-Diaminopentane	1.0 CHEBI:58384 = 1.0 CHEBI:58384	{'15dap'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
TRPt2rpp	L-tryptophan reversible transport via proton symport (periplasm)	Transport, Inner Membrane	1.0 h_p + 1.0 trp__L_p = 1.0 h_c + 1.0 trp__L_c	1.0 H+ + 1.0 L-Tryptophan = 1.0 H+ + 1.0 L-Tryptophan	1.0 CHEBI:5584 + 1.0 CHEBI:13178 = 1.0 CHEBI:5584 + 1.0 CHEBI:13178	{'trp__L', 'h'}	mtr, tnaB, aroP	P0AAD2, P23173, P15993
TYRt2rpp	L-tyrosine reversible transport via proton symport (periplasm)	Transport, Inner Membrane	1.0 h_p + 1.0 tyr__L_p = 1.0 h_c + 1.0 tyr__L_c	1.0 H+ + 1.0 L-Tyrosine = 1.0 H+ + 1.0 L-Tyrosine	1.0 CHEBI:5584 + 1.0 CHEBI:6313 = 1.0 CHEBI:5584 + 1.0 CHEBI:6313	{'h', 'tyr__L'}	tyrP, aroP	P0AAD4, P15993
URIt2pp_copy1	Uridine transport in via proton symport (periplasm)	Transport, Inner Membrane	1.0 h_p + 1.0 uri_p = 1.0 h_c + 1.0 uri_c	1.0 H+ + 1.0 Uridine = 1.0 H+ + 1.0 Uridine	1.0 CHEBI:5584 + 1.0 CHEBI:46386 = 1.0 CHEBI:5584 + 1.0 CHEBI:46386	{'uri', 'h'}	nupG, nupC	P0AFF4, P0AFF2
URIt2pp_copy2	Uridine transport in via proton symport (periplasm)	Transport, Inner Membrane	1.0 h_p + 1.0 uri_p = 1.0 h_c + 1.0 uri_c	1.0 H+ + 1.0 Uridine = 1.0 H+ + 1.0 Uridine	1.0 CHEBI:5584 + 1.0 CHEBI:46386 = 1.0 CHEBI:5584 + 1.0 CHEBI:46386	{'uri', 'h'}	xapB	P45562
VALabcpp	L-valine transport via ABC system (periplasm)	Transport, Inner Membrane	1.0 atp_c + 1.0 h2o_c + 1.0 val__L_p = 1.0 adp_c + 1.0 h_c + 1.0 pi_c + 1.0 val__L_c	1.0 ATP C10H12N5O13P3 + 1.0 H2O H2O + 1.0 L-Valine = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Phosphate + 1.0 L-Valine	1.0 CHEBI:15422 + 1.0 CHEBI:13352 + 1.0 CHEBI:32859 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078 + 1.0 CHEBI:32859	{'pi', 'atp', 'h', 'val__L', 'h2o', 'adp'}	livH, livM, livJ, livG, livF	P0AEX7, P22729, P0AD96, P0A9S7, P22731
12PPDStex	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 12ppd__S_e = 1.0 12ppd__S_p	1.0 (S)-Propane-1,2-diol = 1.0 (S)-Propane-1,2-diol	1.0 CHEBI:29002 = 1.0 CHEBI:29002	{'12ppd__S'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
DDGLCNtex	2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 2ddglcn_e = 1.0 2ddglcn_p	1.0 2-Dehydro-3-deoxy-D-gluconate = 1.0 2-Dehydro-3-deoxy-D-gluconate	1.0 CHEBI:1059 = 1.0 CHEBI:1059	{'2ddglcn'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
XTSNt2rpp	Xanthosine transport via proton symport (periplasm)	Transport, Inner Membrane	1.0 h_p + 1.0 xtsn_p = 1.0 h_c + 1.0 xtsn_c	1.0 H+ + 1.0 Xanthosine = 1.0 H+ + 1.0 Xanthosine	1.0 CHEBI:5584 + 1.0 CHEBI:15323 = 1.0 CHEBI:5584 + 1.0 CHEBI:15323	{'xtsn', 'h'}	xapB	P45562
XYLabcpp	D-xylose transport via ABC system (periplasm)	Transport, Inner Membrane	1.0 atp_c + 1.0 h2o_c + 1.0 xyl__D_p = 1.0 adp_c + 1.0 h_c + 1.0 pi_c + 1.0 xyl__D_c	1.0 ATP C10H12N5O13P3 + 1.0 H2O H2O + 1.0 D-Xylose = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Phosphate + 1.0 D-Xylose	1.0 CHEBI:15422 + 1.0 CHEBI:13352 + 1.0 CHEBI:65327 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078 + 1.0 CHEBI:65327	{'pi', 'atp', 'h', 'xyl__D', 'h2o', 'adp'}	xylH, xylF, xylG	P0AGI4, P37387, P37388
XYLUt2pp	L-xylulose transport in via proton symport (periplasm)	Transport, Inner Membrane	1.0 h_p + 1.0 xylu__L_p = 1.0 h_c + 1.0 xylu__L_c	1.0 H+ + 1.0 L-Xylulose = 1.0 H+ + 1.0 L-Xylulose	1.0 CHEBI:5584 + 1.0 CHEBI:13190 = 1.0 CHEBI:5584 + 1.0 CHEBI:13190	{'xylu__L', 'h'}	yiaM, yiaN, yiaO	P37674, P37675, P37676
THRt4pp	L-threonine  via sodium symport (periplasm)	Transport, Inner Membrane	1.0 na1_p + 1.0 thr__L_p = 1.0 na1_c + 1.0 thr__L_c	1.0 Sodium + 1.0 L-Threonine = 1.0 Sodium + 1.0 L-Threonine	1.0 CHEBI:9175 + 1.0 CHEBI:16857 = 1.0 CHEBI:9175 + 1.0 CHEBI:16857	{'thr__L', 'na1'}	sstT	P0AGE4
GALURtex	D-galacturonate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 galur_e = 1.0 galur_p	1.0 D-Galacturonate = 1.0 D-Galacturonate	1.0 CHEBI:20978 = 1.0 CHEBI:20978	{'galur'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
FDMO	FMNH2-dependent monooxygenase	Inorganic Ion Transport and Metabolism	1.0 fmnh2_c + 1.0 isetac_c + 1.0 o2_c = 1.0 fmn_c + 1.0 gcald_c + 1.0 h2o_c + 1.0 h_c + 1.0 so3_c	1.0 Reduced FMN + 1.0 Isethionic acid + 1.0 O2 O2 = 1.0 FMN C17H19N4O9P + 1.0 Glycolaldehyde + 1.0 H2O H2O + 1.0 H+ + 1.0 Sulfite	1.0 CHEBI:133886 + 1.0 CHEBI:1157 + 1.0 CHEBI:7860 = 1.0 CHEBI:58210 + 1.0 CHEBI:17071 + 1.0 CHEBI:13352 + 1.0 CHEBI:5584 + 1.0 CHEBI:15139	{'fmn', 'o2', 'h', 'fmnh2', 'gcald', 'isetac', 'h2o', 'so3'}	ssuD	P80645
FEOXAMabcpp	Ferroxamine transport via ABC system (periplasm)	Inorganic Ion Transport and Metabolism	1.0 atp_c + 1.0 feoxam_p + 1.0 h2o_c = 1.0 adp_c + 1.0 feoxam_c + 1.0 h_c + 1.0 pi_c	1.0 ATP C10H12N5O13P3 + 1.0 Generic ferrioxamine-Fe-III + 1.0 H2O H2O = 1.0 ADP C10H12N5O10P2 + 1.0 Generic ferrioxamine-Fe-III + 1.0 H+ + 1.0 Phosphate	1.0 CHEBI:15422 + 1.0 CHEBI:5044 + 1.0 CHEBI:13352 = 1.0 CHEBI:2342 + 1.0 CHEBI:5044 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078	{'feoxam', 'atp', 'pi', 'h', 'h2o', 'adp'}	fhuD, fhuB, fhuC	P07822, P06972, P07821
GALtex	D-galactose transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 gal_e = 1.0 gal_p	1.0 D-Galactose = 1.0 D-Galactose	1.0 CHEBI:12936 = 1.0 CHEBI:12936	{'gal'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
CBL1abcpp	Cob(1)alamin transport via ABC system (periplasm)	Transport, Inner Membrane	1.0 atp_c + 1.0 cbl1_p + 1.0 h2o_c = 1.0 adp_c + 1.0 cbl1_c + 1.0 h_c + 1.0 pi_c	1.0 ATP C10H12N5O13P3 + 1.0 Cob(I)alamin + 1.0 H2O H2O = 1.0 ADP C10H12N5O10P2 + 1.0 Cob(I)alamin + 1.0 H+ + 1.0 Phosphate	1.0 CHEBI:15422 + 1.0 CHEBI:60488 + 1.0 CHEBI:13352 = 1.0 CHEBI:2342 + 1.0 CHEBI:60488 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078	{'atp', 'pi', 'h', 'h2o', 'cbl1', 'adp'}	btuD, btuF, btuC	P06611, P37028, P06609
ACACt2pp	Acetoacetate transport via proton symport  (periplasm)	Transport, Inner Membrane	1.0 acac_p + 1.0 h_p = 1.0 acac_c + 1.0 h_c	1.0 Acetoacetate + 1.0 H+ = 1.0 Acetoacetate + 1.0 H+	1.0 CHEBI:40507 + 1.0 CHEBI:5584 = 1.0 CHEBI:40507 + 1.0 CHEBI:5584	{'acac', 'h'}	atoE	P76460
ACGAptspp	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm)	Transport, Inner Membrane	1.0 acgam_p + 1.0 pep_c = 1.0 acgam6p_c + 1.0 pyr_c	1.0 N-Acetyl-D-glucosamine + 1.0 Phosphoenolpyruvate = 1.0 N-Acetyl-D-glucosamine 6-phosphate + 1.0 Pyruvate	1.0 CHEBI:21517 + 1.0 CHEBI:18021 = 1.0 CHEBI:49353 + 1.0 CHEBI:26462	{'pyr', 'acgam', 'pep', 'acgam6p'}	ptsI, crr, ptsH, ptsG, ptsH, ptsI, nagE	P08839, P69783, P0AA04, P69786, P09323
ACMANAptspp	N-acetyl-D-mannosamine transport via PTS  (periplasm)	Transport, Inner Membrane	1.0 acmana_p + 1.0 pep_c = 1.0 acmanap_c + 1.0 pyr_c	1.0 N-Acetyl-D-mannosamine + 1.0 Phosphoenolpyruvate = 1.0 N-Acetyl-D-mannosamine 6-phosphate + 1.0 Pyruvate	1.0 CHEBI:7141 + 1.0 CHEBI:18021 = 1.0 CHEBI:62165 + 1.0 CHEBI:26462	{'pyr', 'acmanap', 'acmana', 'pep'}	ptsH, manY, ptsI, manX, manZ	P0AA04, P69801, P08839, P69797, P69805
ACNAMt2pp	N-acetylneuraminate proton symport (periplasm)	Transport, Inner Membrane	1.0 acnam_p + 1.0 h_p = 1.0 acnam_c + 1.0 h_c	1.0 N-Acetylneuraminate + 1.0 H+ = 1.0 N-Acetylneuraminate + 1.0 H+	1.0 CHEBI:12471 + 1.0 CHEBI:5584 = 1.0 CHEBI:12471 + 1.0 CHEBI:5584	{'acnam', 'h'}	nanT	P41036
