UID	TCID	QUID	Reaction	Evalue	Identity
P39285	1.A.23.1.3	P39285	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
P0C0S1	1.A.23.2.1	P0C0S1	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
P75783	1.A.23.3.2	P75783	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
P0AEB5	1.A.23.4.3	P0AEB5	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
P0AAT4	1.A.23.4.5	P0AAT4	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
P09348	1.A.30.1.1	P09348	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
P0AF06	1.A.30.1.1	P0AF06	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
P55891	1.A.30.1.7	P09348	[('no_reaction_identified', 'no_reaction_identified')]	0.0	93.559
P55892	1.A.30.1.7	P0AF06	[('no_reaction_identified', 'no_reaction_identified')]	0.0	90.615
P0ABU7	1.A.30.2.1	P0ABU7	[('no_reaction_identified', 'no_reaction_identified')]	6.8499999999999995e-180	100.0
P0ABV2	1.A.30.2.1	P0ABV2	[('no_reaction_identified', 'no_reaction_identified')]	2.13e-101	100.0
P0ABU9	1.A.30.2.2	P0ABU9	[('no_reaction_identified', 'no_reaction_identified')]	1.6399999999999998e-170	100.0
P0ABV8	1.A.30.2.2	P0ABV6	[('no_reaction_identified', 'no_reaction_identified')]	1e-99	100.0
P22953	1.A.33.1.1	P0A6Y8	[('no_reaction_identified', 'no_reaction_identified')]	0.0	50.649
P0A6Y8	1.A.33.1.2	P0A6Y8	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
P08107	1.A.33.1.3	P0A6Y8	[('no_reaction_identified', 'no_reaction_identified')]	0.0	50.736
G4NXA5	1.A.33.1.4	P0A6Y8	[('no_reaction_identified', 'no_reaction_identified')]	0.0	55.818
P11021	1.A.33.1.5	P0A6Y8	[('ATP + H2O = ADP + phosphate + H(+)', 'CHEBI:30616 + CHEBI:15377 = CHEBI:456216 + CHEBI:43474 + CHEBI:15378')]	0.0	50.651
B7LEG0	1.A.34.1.2	P0ADA3	[('no_reaction_identified', 'no_reaction_identified')]	0.0	99.736
P0ABI4	1.A.35.1.1	P0ABI4	[('Mn(2+) = Mn(2+)', 'CHEBI:29035 = CHEBI:29035'), ('Co(2+) = Co(2+)', 'CHEBI:48828 = CHEBI:48828'), ('Mg(2+) = Mg(2+)', 'CHEBI:18420 = CHEBI:18420')]	0.0	100.0
P0A2R8	1.A.35.1.2	P0ABI4	[('Ni(2+) = Ni(2+)', 'CHEBI:49786 = CHEBI:49786'), ('Co(2+) = Co(2+)', 'CHEBI:48828 = CHEBI:48828'), ('Mg(2+) = Mg(2+)', 'CHEBI:18420 = CHEBI:18420')]	0.0	97.468
Q9EYX5	1.A.35.4.1	P64423	[('Zn(2+) + H(+) = Zn(2+) + H(+)', 'CHEBI:29105 + CHEBI:15378 = CHEBI:29105 + CHEBI:15378')]	0.0	92.661
P37002	1.A.43.1.1	P37002	[('fluoride = fluoride', 'CHEBI:17051 = CHEBI:17051')]	1.31e-86	100.0
B2N0W4	1.A.46.2.6	P76146	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
W9BH30	1.A.46.2.8	P76146	[('no_reaction_identified', 'no_reaction_identified')]	1.22e-120	55.738
Q46836	1.A.54.5.4	Q46836	[('no_reaction_identified', 'no_reaction_identified')]	0.0	100.0
I7MT28	1.A.62.2.2	P0AFP0	[('no_reaction_identified', 'no_reaction_identified')]	5.01e-116	86.275
P0AGM2	1.A.62.2.3	P0AGM2	[('no_reaction_identified', 'no_reaction_identified')]	5.04e-145	100.0
S0WRQ6	1.A.77.3.11	P0ABC0	[('cation  = cation', 'CHEBI:3473 = CHEBI:3473')]	2.77e-81	97.619
C4X3L3	1.A.77.3.8	P0ABC0	[('cation  = cation', 'CHEBI:3473 = CHEBI:3473')]	5.04e-55	84.921
P0AER0	1.A.8.1.1	P0AER0	[('glycerol = glycerol', 'CHEBI:17754 = CHEBI:17754'), ('arsenite(3-)  = arsenite(3-)', 'CHEBI:29866 = CHEBI:29866'), ('polyol  = polyol', 'CHEBI:26191 = CHEBI:26191')]	0.0	100.0
P60844	1.A.8.3.1	P60844	[('H2O = H2O', 'CHEBI:15377 = CHEBI:15377')]	2.23e-162	100.0
P02931	1.B.1.1.1	P77747	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870'), ('peptide  = peptide', 'CHEBI:16670 = CHEBI:16670'), ('ciprofloxacin  = ciprofloxacin', 'CHEBI:100241 = CHEBI:100241'), ('cefpirome  = cefpirome', 'CHEBI:3503 = CHEBI:3503'), ('ceftriaxone  = ceftriaxone', 'CHEBI:29007 = CHEBI:29007'), ('ceftazidime  = ceftazidime', 'CHEBI:3508 = CHEBI:3508')]	3.3099999999999997e-141	56.959
P02931	1.B.1.1.1	P02932	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870'), ('peptide  = peptide', 'CHEBI:16670 = CHEBI:16670'), ('ciprofloxacin  = ciprofloxacin', 'CHEBI:100241 = CHEBI:100241'), ('cefpirome  = cefpirome', 'CHEBI:3503 = CHEBI:3503'), ('ceftriaxone  = ceftriaxone', 'CHEBI:29007 = CHEBI:29007'), ('ceftazidime  = ceftazidime', 'CHEBI:3508 = CHEBI:3508')]	1.31e-151	60.165
P02931	1.B.1.1.1	P06996	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870'), ('peptide  = peptide', 'CHEBI:16670 = CHEBI:16670'), ('ciprofloxacin  = ciprofloxacin', 'CHEBI:100241 = CHEBI:100241'), ('cefpirome  = cefpirome', 'CHEBI:3503 = CHEBI:3503'), ('ceftriaxone  = ceftriaxone', 'CHEBI:29007 = CHEBI:29007'), ('ceftazidime  = ceftazidime', 'CHEBI:3508 = CHEBI:3508')]	7.86e-141	59.318
P02931	1.B.1.1.1	P76335	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870'), ('peptide  = peptide', 'CHEBI:16670 = CHEBI:16670'), ('ciprofloxacin  = ciprofloxacin', 'CHEBI:100241 = CHEBI:100241'), ('cefpirome  = cefpirome', 'CHEBI:3503 = CHEBI:3503'), ('ceftriaxone  = ceftriaxone', 'CHEBI:29007 = CHEBI:29007'), ('ceftazidime  = ceftazidime', 'CHEBI:3508 = CHEBI:3508')]	7.629999999999999e-68	65.476
P02931	1.B.1.1.1	P02931	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870'), ('peptide  = peptide', 'CHEBI:16670 = CHEBI:16670'), ('ciprofloxacin  = ciprofloxacin', 'CHEBI:100241 = CHEBI:100241'), ('cefpirome  = cefpirome', 'CHEBI:3503 = CHEBI:3503'), ('ceftriaxone  = ceftriaxone', 'CHEBI:29007 = CHEBI:29007'), ('ceftazidime  = ceftazidime', 'CHEBI:3508 = CHEBI:3508')]	0.0	100.0
P02931	1.B.1.1.1	P21420	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870'), ('peptide  = peptide', 'CHEBI:16670 = CHEBI:16670'), ('ciprofloxacin  = ciprofloxacin', 'CHEBI:100241 = CHEBI:100241'), ('cefpirome  = cefpirome', 'CHEBI:3503 = CHEBI:3503'), ('ceftriaxone  = ceftriaxone', 'CHEBI:29007 = CHEBI:29007'), ('ceftazidime  = ceftazidime', 'CHEBI:3508 = CHEBI:3508')]	1.12e-137	57.979
P02931	1.B.1.1.1	P77519	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870'), ('peptide  = peptide', 'CHEBI:16670 = CHEBI:16670'), ('ciprofloxacin  = ciprofloxacin', 'CHEBI:100241 = CHEBI:100241'), ('cefpirome  = cefpirome', 'CHEBI:3503 = CHEBI:3503'), ('ceftriaxone  = ceftriaxone', 'CHEBI:29007 = CHEBI:29007'), ('ceftazidime  = ceftazidime', 'CHEBI:3508 = CHEBI:3508')]	7.299999999999999e-30	57.609
C6C3T8	1.B.1.1.10	P76335	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	1.13e-48	57.317
C6C3T8	1.B.1.1.10	P02931	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	2.95e-108	53.581
C6C3T8	1.B.1.1.10	P77519	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	4.51e-23	58.621
J9VHK9	1.B.1.1.11	P77747	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	1.75e-130	55.352
J9VHK9	1.B.1.1.11	P02932	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	4.09e-119	52.688
J9VHK9	1.B.1.1.11	P06996	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	6.069999999999999e-128	57.105
J9VHK9	1.B.1.1.11	P76335	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	1.32e-50	57.485
J9VHK9	1.B.1.1.11	P02931	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	2.6e-103	50.789
J9VHK9	1.B.1.1.11	P21420	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	1.27e-126	54.712
J9VHK9	1.B.1.1.11	P77519	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	3.43e-19	55.682
Q6RW54	1.B.1.1.12	P77747	[('beta-lactam antibiotic  = beta-lactam antibiotic', 'CHEBI:10427 = CHEBI:10427'), ('cephalosporin  = cephalosporin', 'CHEBI:23066 = CHEBI:23066'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744')]	4.47e-139	56.349
Q6RW54	1.B.1.1.12	P02932	[('beta-lactam antibiotic  = beta-lactam antibiotic', 'CHEBI:10427 = CHEBI:10427'), ('cephalosporin  = cephalosporin', 'CHEBI:23066 = CHEBI:23066'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744')]	4.01e-127	54.972
Q6RW54	1.B.1.1.12	P06996	[('beta-lactam antibiotic  = beta-lactam antibiotic', 'CHEBI:10427 = CHEBI:10427'), ('cephalosporin  = cephalosporin', 'CHEBI:23066 = CHEBI:23066'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744')]	1.0900000000000001e-129	54.813
Q6RW54	1.B.1.1.12	P76335	[('beta-lactam antibiotic  = beta-lactam antibiotic', 'CHEBI:10427 = CHEBI:10427'), ('cephalosporin  = cephalosporin', 'CHEBI:23066 = CHEBI:23066'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744')]	1.9900000000000002e-66	65.031
Q6RW54	1.B.1.1.12	P02931	[('beta-lactam antibiotic  = beta-lactam antibiotic', 'CHEBI:10427 = CHEBI:10427'), ('cephalosporin  = cephalosporin', 'CHEBI:23066 = CHEBI:23066'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744')]	4.67e-127	56.183
Q6RW54	1.B.1.1.12	P21420	[('beta-lactam antibiotic  = beta-lactam antibiotic', 'CHEBI:10427 = CHEBI:10427'), ('cephalosporin  = cephalosporin', 'CHEBI:23066 = CHEBI:23066'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744')]	1.0900000000000001e-130	56.452
Q6RW54	1.B.1.1.12	P77519	[('beta-lactam antibiotic  = beta-lactam antibiotic', 'CHEBI:10427 = CHEBI:10427'), ('cephalosporin  = cephalosporin', 'CHEBI:23066 = CHEBI:23066'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744')]	2.3e-25	54.945
Q9AGC9	1.B.1.1.13	P77747	[('beta-lactam  = beta-lactam', 'CHEBI:35627 = CHEBI:35627'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	5.29e-177	65.81
Q9AGC9	1.B.1.1.13	P02932	[('beta-lactam  = beta-lactam', 'CHEBI:35627 = CHEBI:35627'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	1.87e-139	56.464
Q9AGC9	1.B.1.1.13	P06996	[('beta-lactam  = beta-lactam', 'CHEBI:35627 = CHEBI:35627'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	0.0	76.053
Q9AGC9	1.B.1.1.13	P76335	[('beta-lactam  = beta-lactam', 'CHEBI:35627 = CHEBI:35627'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	6.19e-82	74.534
Q9AGC9	1.B.1.1.13	P02931	[('beta-lactam  = beta-lactam', 'CHEBI:35627 = CHEBI:35627'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	1.61e-135	57.216
Q9AGC9	1.B.1.1.13	P21420	[('beta-lactam  = beta-lactam', 'CHEBI:35627 = CHEBI:35627'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	1.83e-156	63.271
Q9AGC9	1.B.1.1.13	P77519	[('beta-lactam  = beta-lactam', 'CHEBI:35627 = CHEBI:35627'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	4.28e-32	57.303
F4MY44	1.B.1.1.16	P77747	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	1.0600000000000001e-167	65.354
F4MY44	1.B.1.1.16	P02932	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	1.08e-141	58.808
F4MY44	1.B.1.1.16	P06996	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	0.0	72.074
F4MY44	1.B.1.1.16	P76335	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	7.75e-75	68.944
F4MY44	1.B.1.1.16	P02931	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	3.54e-135	58.933
F4MY44	1.B.1.1.16	P21420	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	1.7499999999999999e-146	62.5
F4MY44	1.B.1.1.16	P77519	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	1.55e-30	62.025
F4MVD5	1.B.1.1.17	P77747	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	1.18e-91	56.705
F4MVD5	1.B.1.1.17	P02932	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	1.05e-96	59.426
F4MVD5	1.B.1.1.17	P06996	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	9.82e-80	55.686
F4MVD5	1.B.1.1.17	P76335	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	1.21e-09	70.588
F4MVD5	1.B.1.1.17	P02931	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	2.16e-87	57.202
F4MVD5	1.B.1.1.17	P21420	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	2.16e-83	56.522
D6QLX8	1.B.1.1.19	P77747	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	2.7100000000000002e-179	68.504
D6QLX8	1.B.1.1.19	P02932	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	9.62e-145	58.649
D6QLX8	1.B.1.1.19	P06996	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	0.0	80.217
D6QLX8	1.B.1.1.19	P76335	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	1.0299999999999999e-82	74.534
D6QLX8	1.B.1.1.19	P02931	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	1.49e-139	58.839
D6QLX8	1.B.1.1.19	P21420	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	4.88e-151	63.144
D6QLX8	1.B.1.1.19	P77519	[('meropenem  = meropenem', 'CHEBI:43968 = CHEBI:43968'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903'), ('imipenem  = imipenem', 'CHEBI:471744 = CHEBI:471744'), ('2-(Biaryl)carbapenems  = 2-(Biaryl)carbapenems', 'CHEBI:29470 = CHEBI:29470')]	1.11e-33	59.551
P02932	1.B.1.1.2	P77747	[('phosphate(3-)  = phosphate(3-)', 'CHEBI:18367 = CHEBI:18367')]	8.38e-159	59.524
P02932	1.B.1.1.2	P02932	[('phosphate(3-)  = phosphate(3-)', 'CHEBI:18367 = CHEBI:18367')]	0.0	100.0
P02932	1.B.1.1.2	P06996	[('phosphate(3-)  = phosphate(3-)', 'CHEBI:18367 = CHEBI:18367')]	4.3000000000000005e-144	58.333
P02932	1.B.1.1.2	P76335	[('phosphate(3-)  = phosphate(3-)', 'CHEBI:18367 = CHEBI:18367')]	4.39e-68	60.87
P02932	1.B.1.1.2	P02931	[('phosphate(3-)  = phosphate(3-)', 'CHEBI:18367 = CHEBI:18367')]	1.35e-151	60.165
P02932	1.B.1.1.2	P21420	[('phosphate(3-)  = phosphate(3-)', 'CHEBI:18367 = CHEBI:18367')]	4.08e-152	62.125
P02932	1.B.1.1.2	P77519	[('phosphate(3-)  = phosphate(3-)', 'CHEBI:18367 = CHEBI:18367')]	2.2099999999999998e-30	53.191
J9VK71	1.B.1.1.20	P77747	[('cefepime  = cefepime', 'CHEBI:478164 = CHEBI:478164'), ('cefoxitin  = cefoxitin', 'CHEBI:209807 = CHEBI:209807'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903')]	4.87e-130	54.856
J9VK71	1.B.1.1.20	P02932	[('cefepime  = cefepime', 'CHEBI:478164 = CHEBI:478164'), ('cefoxitin  = cefoxitin', 'CHEBI:209807 = CHEBI:209807'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903')]	1.09e-116	51.344
J9VK71	1.B.1.1.20	P06996	[('cefepime  = cefepime', 'CHEBI:478164 = CHEBI:478164'), ('cefoxitin  = cefoxitin', 'CHEBI:209807 = CHEBI:209807'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903')]	8.98e-128	57.218
J9VK71	1.B.1.1.20	P76335	[('cefepime  = cefepime', 'CHEBI:478164 = CHEBI:478164'), ('cefoxitin  = cefoxitin', 'CHEBI:209807 = CHEBI:209807'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903')]	4.32e-51	59.394
J9VK71	1.B.1.1.20	P21420	[('cefepime  = cefepime', 'CHEBI:478164 = CHEBI:478164'), ('cefoxitin  = cefoxitin', 'CHEBI:209807 = CHEBI:209807'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903')]	3.39e-125	53.684
J9VK71	1.B.1.1.20	P77519	[('cefepime  = cefepime', 'CHEBI:478164 = CHEBI:478164'), ('cefoxitin  = cefoxitin', 'CHEBI:209807 = CHEBI:209807'), ('ertapenem  = ertapenem', 'CHEBI:404903 = CHEBI:404903')]	3.43e-19	56.977
P77747	1.B.1.1.21	P77747	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	0.0	100.0
P77747	1.B.1.1.21	P02932	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	4.49e-151	60.955
P77747	1.B.1.1.21	P06996	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	7e-154	66.753
P77747	1.B.1.1.21	P76335	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	2.79e-74	77.64
P77747	1.B.1.1.21	P02931	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	2.4000000000000002e-129	56.831
P77747	1.B.1.1.21	P21420	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	1.58e-152	64.835
P77747	1.B.1.1.21	P77519	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	7.73e-27	64.045
Q56111	1.B.1.1.22	P77747	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	0.0	80.155
Q56111	1.B.1.1.22	P02932	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	2.54e-152	60.779
Q56111	1.B.1.1.22	P06996	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	6.9e-159	66.057
Q56111	1.B.1.1.22	P76335	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	4.38e-78	75.776
Q56111	1.B.1.1.22	P02931	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	2.01e-130	57.653
Q56111	1.B.1.1.22	P21420	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	2.58e-152	63.077
Q56111	1.B.1.1.22	P77519	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	7.7e-29	62.637
A7FIL0	1.B.1.1.23	P77747	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	5.83e-138	56.477
A7FIL0	1.B.1.1.23	P02932	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	1.5099999999999998e-134	55.647
A7FIL0	1.B.1.1.23	P06996	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	1.58e-119	52.279
A7FIL0	1.B.1.1.23	P76335	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	3.08e-58	57.055
A7FIL0	1.B.1.1.23	P02931	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	7.89e-127	54.278
A7FIL0	1.B.1.1.23	P21420	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	1.6899999999999998e-134	56.0
E3U905	1.B.1.1.24	P77747	[('molecule  = molecule', 'CHEBI:25367 = CHEBI:25367')]	5.020000000000001e-124	51.715
